Name,Type,Location,,Cost,Amenities,Room Type,Owner Name,Contact,Rating
MUNNUDI GIRLS PG DHARWAD,"point_of_interest, establishment","Naydu Girani, near KCD College, Malmaddi, Dharwad, Karnataka 580001, India",,Unknown,"point_of_interest, establishment",Single or Shared (Info not available),070220 55910,070220 55910,4.9
VasantGeeta PG For Boys,"point_of_interest, establishment","Venkateshwara Complex, behind Nirmala Saree Centre, near NTTF BRTC Bus Stop, Hosayellapur, Dharwad, Karnataka 580001, India",,Unknown,"point_of_interest, establishment",Single or Shared (Info not available),084948 65435,084948 65435,5
Shivaji pg with Mess,"point_of_interest, establishment","Plot no 184, 3rd cross, Rajaji Nagar, Sattur Colony, Dharwad, Karnataka 580009, India",,Unknown,"point_of_interest, establishment",Single or Shared (Info not available),Not Available,Not Available,4.8
Sri Durga PG,"point_of_interest, establishment","4th Cross Rd, near Shankara Matha, next to SMPU college back gate, Y.S. Colony, Ambedkar Nagar, Yalakki Shettar Colony, Dharwad, Karnataka 580004, India",,Unknown,"point_of_interest, establishment",Single or Shared (Info not available),099163 86854,099163 86854,4.9
Sukshema PG For Boys,"point_of_interest, establishment","Basavanagar1st Cross Rd, ???????, ?????????, ???????????, ??????, ??????? 580001, India",,Unknown,"point_of_interest, establishment",Single or Shared (Info not available),078925 51168,078925 51168,5
Anjaneya boys Pg and rooms,"point_of_interest, establishment","Michigan compound, Vivekananda Cir, Saptapur, Dharwad, Karnataka 580001, India",,Unknown,"point_of_interest, establishment",Single or Shared (Info not available),086188 61242,086188 61242,5
DHARWAD PG FOR BOYS AND GIRLS,"point_of_interest, establishment","Near old SP Dharwad, bhavasar PG, Alnavar, Dharawad, Dharwad, Karnataka 580008, India",,Unknown,"point_of_interest, establishment",Single or Shared (Info not available),Not Available,Not Available,4.7
Sanvi boys pg,"point_of_interest, establishment","Near Vaidyamath complex, silver orchard 1st main cross, Kelgeri Rd, Kusum Nagar, Narayanpura, Dharwad, Karnataka 580008, India",,Unknown,"point_of_interest, establishment",Single or Shared (Info not available),Not Available,Not Available,4.7
MUNISAI NIVAS PG,"point_of_interest, establishment","CXWR+GC7 Manjunath Sahakari Graha Nirmana Sangha, beside lake, Jay Nagar, Saptapur, Dharwad, Karnataka 580001, India",,Unknown,"point_of_interest, establishment",Single or Shared (Info not available),099003 40778,099003 40778,4.9
Sai Nilayam pg,"point_of_interest, establishment","Jay Nagar, Saptapur, Dharwad, Karnataka 580001, India",,Unknown,"point_of_interest, establishment",Single or Shared (Info not available),084314 69045,084314 69045,4.8
Parvati P G Mess,"point_of_interest, establishment","Nisargali Liyout K U D Dharwad K U D, Nisarga Layout Phase I, Attikolla, Dharwad, Karnataka 580001, India",,Unknown,"point_of_interest, establishment",Single or Shared (Info not available),095382 33544,095382 33544,4.5
Saptagiri pg,"point_of_interest, establishment","Michigan Compound, 1st Cross Rd, Saptapur, Dharwad, Karnataka 580001, India",,Unknown,"point_of_interest, establishment",Single or Shared (Info not available),Not Available,Not Available,4.5
Naveen PG in Dharwad,"point_of_interest, establishment","Near Sairam study circle Kalyan Nagar railway bridge, Barakotri Road, shivagiri, Saptapur, Dharwad, Karnataka 580001, India",,Unknown,"point_of_interest, establishment",Single or Shared (Info not available),Not Available,Not Available,4.6
VS PG for Boys,"point_of_interest, establishment","2nd Cross Rd, CB Nagar, Saptapur, Dharwad, Karnataka 580001, India",,Unknown,"point_of_interest, establishment",Single or Shared (Info not available),090359 44193,090359 44193,N/A
Patil Boys PG,"point_of_interest, establishment","Daneshwari Nagar, Vidyagiri, Dharwad, Karnataka 580004, India",,Unknown,"point_of_interest, establishment",Single or Shared (Info not available),Not Available,Not Available,4
Royal P.G,"point_of_interest, establishment","Gandhinagar, Dharwad, Karnataka 580002, India",,Unknown,"point_of_interest, establishment",Single or Shared (Info not available),Not Available,Not Available,4.9
PG Hostel Girls,"point_of_interest, establishment","C2J7+M6C, Rajivgandhinagar, Dharwad, Karnataka 580002, India",,Unknown,"point_of_interest, establishment",Single or Shared (Info not available),Not Available,Not Available,5
Nikunj Girls Pg,"point_of_interest, establishment","beside JSS SMPU College back gate, Y.S. Colony, Vidyagiri, Dharwad, Karnataka 580004, India",,Unknown,"point_of_interest, establishment",Single or Shared (Info not available),Not Available,Not Available,4.1
Arsh P G,"point_of_interest, establishment","Haliyal Road, 5th Cross Rd, behind Vidyakashi, SKS Colony, Vijyanand Nagar, Saptapur, Dharwad, Karnataka 580001, India",,Unknown,"point_of_interest, establishment",Single or Shared (Info not available),090353 49589,090353 49589,5
Surbhi Boys' PG,"point_of_interest, establishment","circle, near Med plus, Bharati Nagar, Dasanakoppa, Dharwad, Karnataka 580008, India",,Unknown,"point_of_interest, establishment",Single or Shared (Info not available),Not Available,Not Available,5
